Jurisdiction,Crime Rate
AL,3479.794961
AK,4159.283204
AZ,3471.869001
AR,3836.885435
CA,2994.838519
CO,3095.348099
CT,2035.964696
DE,3277.953769
FL,3110.445776
GA,3370.038842
HI,3206.099604
ID,1978.124148
IL,2487.666066
IN,2939.038201
IA,2397.353578
KS,3231.31679
KY,2438.283245
LA,3862.183875
ME,1770.8941
MD,2800.696195
MA,1940.363623
MI,2376.124295
MN,2372.612013
MS,3045.874694
MO,3322.527538
MT,3084.948241
NE,2561.224741
NV,3260.895452
NH,1722.152935
NJ,1780.63703
NM,4628.05788
NY,1913.357168
NC,3106.642332
ND,2561.849148
OH,2896.988046
OK,3464.877014
OR,3247.659257
PA,2055.065717
RI,2027.202085
SC,3763.663293
SD,2419.266849
TN,3513.969072
TX,3192.834281
UT,3218.024643
VT,1693.41979
VA,2089.125996
WA,3805.761733
WV,2401.515446
WI,2245.433288
WY,2203.92881